volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
mdp.39015039369650,1785,1804,1750,1785,f,uk,61209,0.638616875866,1,1,329,"Lee, Sophia,",The recess;,pbgothic | teamblack | stew
hvd.hn6nee,1780,1798,1711,1780,f,fr,51834,0.375551764046,0,1,329,"Leprince de Beaumont,",Letters of Madame Du Montier,random | teamblack
uc2.ark+=13960=t9f47kt3k,1847,1847,1818,1847,m,uk,60466,0.404354711949,0,1,329,"Froude, James Anthony,",Shadows of the clouds,random | teamblack
uc1.b250128,1864,1864,1814,1864,m,uk,66557,0.478092470615,1,1,326,"Le Fanu, Joseph Sheridan,",Uncle Silas,sensation | pbgothic | teamblack | stew
4698,1922,1922,1880,1922,m,us,113527,0.169988218143,0,1,329,"Kyne, Peter B.",Cappy Ricks retires,teamred | chirandom
22332,1985,1985,1928,1985,m,us,101133,0.460480306785,0,1,329,"Dick, Philip K,",Puttering about in a smal,chirandom | teamblack
dul1.ark+=13960=t6446jc6s,1764,1764,0,1764,,uk,74146,0.371687985434,0,1,329,Anonymous4,The memoirs of Miss D'Arv,random | teamblack
10377,1932,1932,1896,1932,m,us,152503,0.329127722415,0,1,329,"Dos Passos, John,",1919,teamred | chirandom
nyp.33433076060080,1910,1914,1873,1910,m,us,145372,0.259105624484,0,1,329,"Palmer, Frederick,",The big fellow,random | teamblack
nnc1.cu58506756,1791,1795,1764,1791,f,uk,161683,0.653716986725,1,1,323,"Radcliffe, Ann Ward,",The romance of the forest,pbgothic | teamblack | stew
uiuo.ark+=13960=t2b85z60c,1818,1818,1775,1818,f,uk,53945,0.300125405105,1,1,325,"Austen, Jane,",Northanger Abbey,lochorror | teamblack | stew
23200,1989,1989,1952,1989,m,us,197199,0.584949370164,1,1,329,"Somtow, S. P,",Moon dance,chihorror | teamblack | stew
uva.x000885514,1893,1903,1842,1893,m,us,69854,0.611927094934,1,1,326,"Bierce, Ambrose,",Can such things be?,pbgothic | teamblack
uiuo.ark+=13960=t3vt1zh5r,1847,1847,1797,1847,m,uk,38693,0.405286834897,0,1,329,"Cobbold, Richard,",Zenon,teamred | random
uc1.b4101364,1863,1863,1815,1863,m,uk,84241,0.299744950881,0,1,329,"Trollope, Anthony,",Rachel Ray,teamred | random
20481,1962,1962,1914,1962,m,us,59134,0.637174486321,0,1,329,"Burroughs, William S.",The ticket that exploded,chirandom | teamblack
4529,1921,1921,1889,1921,m,us,21138,0.345875672118,0,1,329,"Byrne, Donn,",Messer Marco Polo,chirandom | chifantasy | teamblack
coo.31924014157121,1891,1908,1854,1891,m,uk,90578,0.470578723636,1,1,329,"Wilde, Oscar,",The picture of Dorian Gra,pbgothic | teamblack
hvd.hwkdax,1803,1803,1757,1803,f,uk,73494,0.620649591223,0,1,329,"Lee, Harriet,",Canterbury tales,teamred | random
20152,1954,1954,1926,1954,m,us,48931,0.717831978187,1,1,329,"Matheson, Richard,",I am legend,chiscifi | teamred | pbgothic | chihorror
20750,1967,1967,1895,1967,m,us,65457,0.416441945833,0,1,329,"McNichols, Charles Longstreth,",Crazy weather,teamred | chirandom
ucm.5324200594,1821,1838,1771,1821,m,uk,217473,0.428414524427,0,1,329,"Scott, Walter,",Kenilworth,teamred | random
uiuo.ark+=13960=t9474zg09,1883,1883,1829,1883,m,uk,67641,0.27386710145,0,1,329,"Oliphant, Laurence,",Altiora Peto,teamred | random
uc2.ark+=13960=t3pv6dr2h,1911,1911,1880,1911,m,us,45273,0.369371595285,0,1,329,"Pearson, Edmund Lester,",The librarian at play,random | teamblack
