position,big_genres,dates,authors,genres,lavin_genres,ids,titles,correct,predicted,probability_gothic,target_binary,predicted_binary,predicted_binary_false
411,gothic,1912,Gowans%2C+Adam+L.,teamblack | locghost | lavin_ghost,lavin_ghost,412,Famous+ghost-stories+by+E,1,gothic,0.515422336,0,0,1
302,non_genre,1892,Bierce%2C+Ambrose%2C,teamblack | random,no_lavin_tag,303,The+monk+and+the+hangman%27,0,gothic,0.528501099,1,0,1
279,gothic,1888,AnonymousGhost,teamblack | locghost | stew | lavin_ghost,lavin_ghost,280,Weird+tid-bits,1,gothic,0.530469478,0,0,1
275,gothic,1888,AnonymousGhost,teamred | locghost | lavin_ghost,lavin_ghost,276,Weird+tid-bits,1,gothic,0.532594868,0,0,1
308,scifi,1893,Flammarion%2C+Camille%2C,teamblack | anatscifi,no_lavin_tag,309,Omega%3A+the+last+days+of+t,0,gothic,0.536695032,1,0,1
256,crime,1883,Du+Boisgobey%2C+Fortun%2C,det100 | teamblack,no_lavin_tag,257,The+detective%27s+eye+%3B,0,gothic,0.546287371,1,0,1
250,scifi,1880,Cowan%2C+Frank%2C,teamblack | locscifi,no_lavin_tag,251,Revi-Lona,0,gothic,0.550921415,1,0,1
164,non_genre,1851,MacCabe%2C+William+Bernard%2C,teamred | random,no_lavin_tag,165,Bertha,0,gothic,0.554811932,1,0,1
290,gothic,1888,AnonymousGhost,teamblack | locghost | lavin_ghost,lavin_ghost,291,Weird+tid-bits,1,gothic,0.563921482,0,0,1
280,gothic,1888,AnonymousGhost,teamred | locghost | stew | lavin_ghost,lavin_ghost,281,Weird+tid-bits,1,gothic,0.566644281,0,0,1
128,non_genre,1837,Lover%2C+Samuel%2C,teamblack | random,no_lavin_tag,129,Rory+O%27More,0,gothic,0.571134771,1,0,1
583,scifi,1932,Stapledon%2C+Olaf%2C,teamred | chiscifi,no_lavin_tag,584,Last+men+in+London,0,gothic,0.628509608,1,0,1
9,non_genre,1785,Genlis%2C+Stphanie+Flicit,teamred | random,no_lavin_tag,10,Tales+of+the+castle%3B,0,gothic,0.678684963,1,0,1
113,non_genre,1832,Disraeli%2C+Benjamin%2C,teamblack | random,no_lavin_tag,114,Contarini+Fleming%3B,0,gothic,0.701304663,1,0,1
